         2462365 function calls (2435072 primitive calls) in 2.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1689    0.002    0.000    0.034    0.000 artist.py:1350(is_alias)
        1    0.002    0.002    0.002    0.002 arc_generators.py:98(<dictcomp>)
       11    0.002    0.000    0.039    0.004 utils.py:237(load_all_palettes)
     3214    0.002    0.000    0.002    0.000 palette.py:45(__init__)
        2    0.002    0.001    0.002    0.001 colormaps.py:1(<module>)
      233    0.002    0.000    0.002    0.000 pyparsing.py:1400(__init__)
       12    0.002    0.000    0.028    0.002 artist.py:1250(get_aliases)
      651    0.002    0.000    0.003    0.000 posixpath.py:150(dirname)
      881    0.002    0.000    0.004    0.000 copy.py:258(_reconstruct)
     8514    0.002    0.000    0.002    0.000 inspect.py:2527(name)
      610    0.002    0.000    0.018    0.000 __init__.py:1327(safe_version)
        2    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
       11    0.002    0.000    0.005    0.000 negative.py:85(<genexpr>)
     1260    0.002    0.000    0.002    0.000 colors.py:277(<genexpr>)
     3065    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
      473    0.002    0.000    0.002    0.000 function_base.py:2031(__init__)
     3896    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      446    0.002    0.000    0.004    0.000 __init__.py:686(add)
5174/3713    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
     2388    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
    10006    0.002    0.000    0.002    0.000 {built-in method math.exp}
      432    0.002    0.000    0.050    0.000 _decorators.py:330(__call__)
     4960    0.002    0.000    0.002    0.000 {built-in method from_bytes}
    26/25    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
      224    0.002    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
   260/11    0.002    0.000    0.005    0.000 pyparsing.py:1647(_parseNoCache)
     7452    0.002    0.000    0.002    0.000 colorbrewer.py:162(<genexpr>)
      224    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      224    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
     1949    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      157    0.001    0.000    0.002    0.000 deprecation.py:24(_generate_deprecation_warning)
     3988    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
      753    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
      317    0.001    0.000    0.002    0.000 typing.py:219(_remove_dups_flatten)
     1482    0.001    0.000    0.001    0.000 functools.py:64(wraps)
      616    0.001    0.000    0.006    0.000 _inspect.py:98(getargspec)
      224    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        2    0.001    0.001    0.001    0.001 utils.py:65(<listcomp>)
     2574    0.001    0.000    0.002    0.000 utils.py:114(split_name_length)
    10032    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      388    0.001    0.000    0.022    0.000 __init__.py:2196(_handle_ns)
      332    0.001    0.000    0.003    0.000 enum.py:828(__and__)
        1    0.001    0.001    0.002    0.002 _base.py:367(_AxesBase)
      834    0.001    0.000    0.002    0.000 enum.py:368(__setattr__)
     1888    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:800(find_spec)
     1206    0.001    0.000    0.002    0.000 __init__.py:2638(key)
     1619    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     1037    0.001    0.000    0.058    0.000 inspect.py:3091(signature)
      672    0.001    0.000    0.002    0.000 sre_parse.py:355(_escape)
      865    0.001    0.000    0.021    0.000 __init__.py:2766(_get_metadata)
      848    0.001    0.000    0.002    0.000 traitlets.py:419(__init__)
      472    0.001    0.000    0.153    0.000 __init__.py:2039(find_on_path)
      189    0.001    0.000    0.008    0.000 traitlets.py:722(__new__)
     1711    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       11    0.001    0.000    0.083    0.008 artist.py:1380(pprint_setters)
